Lexeme : fun ; Token :[FUN]; Line no. 1
Lexeme : main ; Token :[IDENTIFIER]; Line no. 1
Lexeme : ( ; Token :[OP_PAR]; Line no. 1
Lexeme : ) ; Token :[CL_PAR]; Line no. 1
Lexeme : : ; Token :[COL]; Line no. 1
Lexeme : int ; Token :[INT]; Line no. 2
Lexeme : a ; Token :[IDENTIFIER]; Line no. 2
Lexeme : : ; Token :[COL]; Line no. 2
Lexeme : int ; Token :[INT]; Line no. 3
Lexeme : b ; Token :[IDENTIFIER]; Line no. 3
Lexeme : : ; Token :[COL]; Line no. 3
Lexeme : scan ; Token :[SCAN]; Line no. 4
Lexeme : ( ; Token :[OP_PAR]; Line no. 4
Lexeme : a ; Token :[IDENTIFIER]; Line no. 4
Lexeme : ) ; Token :[CL_PAR]; Line no. 4
Lexeme : : ; Token :[COL]; Line no. 4
Lexeme : scan ; Token :[SCAN]; Line no. 5
Lexeme : ( ; Token :[OP_PAR]; Line no. 5
Lexeme : c ; Token :[IDENTIFIER]; Line no. 5
Lexeme : ) ; Token :[CL_PAR]; Line no. 5
Lexeme : : ; Token :[COL]; Line no. 5
Lexeme : b ; Token :[IDENTIFIER]; Line no. 6
Lexeme : = ; Token :[ASSIGN_OP]; Line no. 6
Lexeme : 0 ; Token :[INT_LIT]; Line no. 6
Lexeme : : ; Token :[COL]; Line no. 6
Lexeme : loop ; Token :[LOOP]; Line no. 7
Lexeme : ( ; Token :[OP_PAR]; Line no. 7
Lexeme : b ; Token :[IDENTIFIER]; Line no. 7
Lexeme : <= ; Token :[LE]; Line no. 7
Lexeme : a ; Token :[IDENTIFIER]; Line no. 7
Lexeme : ) ; Token :[CL_PAR]; Line no. 7
Lexeme : : ; Token :[COL]; Line no. 7
Lexeme : b ; Token :[IDENTIFIER]; Line no. 8
Lexeme : = ; Token :[ASSIGN_OP]; Line no. 8
Lexeme : b ; Token :[IDENTIFIER]; Line no. 8
Lexeme : + ; Token :[ADDITION_OP]; Line no. 8
Lexeme : 1 ; Token :[INT_LIT]; Line no. 8
Lexeme : : ; Token :[COL]; Line no. 8
Lexeme : print ; Token :[PRINT]; Line no. 9
Lexeme : ( ; Token :[OP_PAR]; Line no. 9
Lexeme : c ; Token :[IDENTIFIER]; Line no. 9
Lexeme : ) ; Token :[CL_PAR]; Line no. 9
Lexeme : : ; Token :[COL]; Line no. 9
Lexeme : endloop ; Token :[ENDLOOP]; Line no. 10
Lexeme : : ; Token :[COL]; Line no. 10
Lexeme : ret ; Token :[RET]; Line no. 11
Lexeme : 0 ; Token :[INT_LIT]; Line no. 11
Lexeme : : ; Token :[COL]; Line no. 11
Lexeme : endfun ; Token :[ENDFUN]; Line no. 12
Lexeme : : ; Token :[COL]; Line no. 12
