,[OP_PAR],[CL_PAR],[INT],[FLOAT],[BOOLEAN],[STR],[FUN],[IDENTIFIER],[SUB_OP],[MOD_OP],[INT_LIT],[FLOAT_LIT],[STRING_LIT],[TRUE],[FALSE],[LT],[GT],[LE],[GE],[EQ],[IF],[ELSE],[ENDIF],[ENDFUN],[LOOP],[COL],[COM],[ENDLOOP],[ASSIGN_OP],[ADDITION_OP],[RET],[PRINT],[SCAN],$
<START_PROGRAM>,0,0,<START_PROGRAM>=<FUNCTION_LIST><MAIN>,<START_PROGRAM>=<FUNCTION_LIST><MAIN>,<START_PROGRAM>=<FUNCTION_LIST><MAIN>,<START_PROGRAM>=<FUNCTION_LIST><MAIN>,<START_PROGRAM>=<FUNCTION_LIST><MAIN>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<FUNCTION_LIST>,0,0,<FUNCTION_LIST>=<FUNCTION><FUNCTION_LIST>,<FUNCTION_LIST>=<FUNCTION><FUNCTION_LIST>,<FUNCTION_LIST>=<FUNCTION><FUNCTION_LIST>,<FUNCTION_LIST>=<FUNCTION><FUNCTION_LIST>,<FUNCTION_LIST>=#,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<FUNCTION>,0,0,<FUNCTION>=<DATATYPE>[FUN][IDENTIFIER][OP_PAR]<PARAM_LIST>[CL_PAR][COL]<STMT_LIST>[ENDFUN][COL],<FUNCTION>=<DATATYPE>[FUN][IDENTIFIER][OP_PAR]<PARAM_LIST>[CL_PAR][COL]<STMT_LIST>[ENDFUN][COL],<FUNCTION>=<DATATYPE>[FUN][IDENTIFIER][OP_PAR]<PARAM_LIST>[CL_PAR][COL]<STMT_LIST>[ENDFUN][COL],<FUNCTION>=<DATATYPE>[FUN][IDENTIFIER][OP_PAR]<PARAM_LIST>[CL_PAR][COL]<STMT_LIST>[ENDFUN][COL],SYNCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<PARAM_LIST>,0,<PARAM_LIST>=#,<PARAM_LIST>=<PARAM><PARAM_LIST>,<PARAM_LIST>=<PARAM><PARAM_LIST>,<PARAM_LIST>=<PARAM><PARAM_LIST>,<PARAM_LIST>=<PARAM><PARAM_LIST>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<PARAM_LIST>=[COM]<PARAM><PARAM_LIST>,0,0,0,0,0,0,0
<PARAM>,0,SYNCH,<PARAM>=<DATATYPE>[IDENTIFIER],<PARAM>=<DATATYPE>[IDENTIFIER],<PARAM>=<DATATYPE>[IDENTIFIER],<PARAM>=<DATATYPE>[IDENTIFIER],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNCH,0,0,0,0,0,0,0
<MAIN>,0,0,0,0,0,0,<MAIN>=[FUN][IDENTIFIER][OP_PAR][CL_PAR][COL]<STMT_LIST>[ENDFUN][COL],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNCH
<STMT_LIST>,0,0,<STMT_LIST>=<STMT><STMT_LIST>,<STMT_LIST>=<STMT><STMT_LIST>,<STMT_LIST>=<STMT><STMT_LIST>,<STMT_LIST>=<STMT><STMT_LIST>,<STMT_LIST>=<STMT><STMT_LIST>,<STMT_LIST>=<STMT><STMT_LIST>,0,0,0,0,0,0,0,0,0,0,0,0,<STMT_LIST>=<STMT><STMT_LIST>,<STMT_LIST>=#,<STMT_LIST>=#,<STMT_LIST>=#,<STMT_LIST>=<STMT><STMT_LIST>,0,0,<STMT_LIST>=#,0,0,<STMT_LIST>=<STMT><STMT_LIST>,<STMT_LIST>=<STMT><STMT_LIST>,<STMT_LIST>=<STMT><STMT_LIST>,0
<STMT>,0,0,<STMT>=<DECL>[COL],<STMT>=<DECL>[COL],<STMT>=<DECL>[COL],<STMT>=<DECL>[COL],<STMT>=<FUNC_CALL>[COL],<STMT>=<ASSIGNMENT>[COL],0,0,0,0,0,0,0,0,0,0,0,0,<STMT>=<NEST_BLOCK>[COL],SYNCH ,SYNCH ,SYNCH ,<STMT>=<NEST_BLOCK>[COL],0,0,SYNCH ,0,0,<STMT>=<RETURN>[COL],<STMT>=<FUNC_CALL>[COL],<STMT>=<FUNC_CALL>[COL],0
<ASSIGNMENT>,0,0,0,0,0,0,0,<ASSIGNMENT>=[IDENTIFIER][ASSIGN_OP]<EXPRESSIONS>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNCH ,0,0,0,0,0,0,0,0
<DECL>,0,0,<DECL>=<DATATYPE>[IDENTIFIER],<DECL>=<DATATYPE>[IDENTIFIER],<DECL>=<DATATYPE>[IDENTIFIER],<DECL>=<DATATYPE>[IDENTIFIER],0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNCH ,0,0,0,0,0,0,0,0
<EXPRESSIONS>,<EXPRESSIONS>=<TERM><EXPRESSIONS*>,SYNCH,0,0,0,0,0,<EXPRESSIONS>=<TERM><EXPRESSIONS*>,<EXPRESSIONS>=<TERM><EXPRESSIONS*>,0,<EXPRESSIONS>=<TERM><EXPRESSIONS*>,<EXPRESSIONS>=<TERM><EXPRESSIONS*>,<EXPRESSIONS>=<TERM><EXPRESSIONS*>,<EXPRESSIONS>=<TERM><EXPRESSIONS*>,<EXPRESSIONS>=<TERM><EXPRESSIONS*>,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,0,0,0,0,0,SYNCH,0,0,0,0,0,0,0,0
<EXPRESSIONS*>,0,<EXPRESSIONS*>=#,0,0,0,0,0,,<EXPRESSIONS*>=[ADDITION_OP]<TERM><EXPRESSIONS*>,0,0,0,0,0,0,<EXPRESSIONS*>=#,<EXPRESSIONS*>=#,<EXPRESSIONS*>=#,<EXPRESSIONS*>=#,<EXPRESSIONS*>=#,0,0,0,0,0,<EXPRESSIONS*>=#,0,0,0,<EXPRESSIONS*>=[ADDITION_OP]<TERM><EXPRESSIONS*>,0,0,0,0
<TERM>,<TERM>=<FACTOR><TERM*>,SYNCH,0,0,0,0,0,<TERM>=<FACTOR><TERM*>,<TERM>=<FACTOR><TERM*>,0,<TERM>=<FACTOR><TERM*>,<TERM>=<FACTOR><TERM*>,<TERM>=<FACTOR><TERM*>,<TERM>=<FACTOR><TERM*>,<TERM>=<FACTOR><TERM*>,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,0,0,0,0,0,0,0,0,0,SYNCH,0,0,0,0
<TERM*>,0,<TERM*>=#,0,0,0,0,0,0,<TERM*>=#,<TERM*>=[MOD_OP]<FACTOR><TERM*>,0,0,0,0,0,<TERM*>=#,<TERM*>=#,<TERM*>=#,<TERM*>=#,<TERM*>=#,0,0,0,0,0,<TERM*>=#,0,0,0,<TERM*>=#,0,0,0,0
<FACTOR>,<FACTOR>=[OP_PAR]<EXPRESSIONS>[CL_PAR],SYNCH,0,0,0,0,0,<FACTOR>=[IDENTIFIER],<FACTOR>=[SUB_OP]<FACTOR>,SYNCH,<FACTOR>=<VALUE>,<FACTOR>=<VALUE>,<FACTOR>=<VALUE>,<FACTOR>=<VALUE>,<FACTOR>=<VALUE>,SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,0,0,0,0,0,SYNCH,0,0,0,0,0,0,0,0
<VALUE>,0,SYNCH,0,0,0,0,0,0,SYNCH,SYNCH,<VALUE>=[INT_LIT],<VALUE>=[FLOAT_LIT],<VALUE>=[STRING_LIT],<VALUE>=[TRUE],<VALUE>=[FALSE],SYNCH,SYNCH,SYNCH,SYNCH,SYNCH,0,0,0,0,0,SYNCH,SYNCH,0,0,0,0,0,0,0
<DATATYPE>,0,0,<DATATYPE>=[INT],<DATATYPE>=[FLOAT],<DATATYPE>=[BOOLEAN],<DATATYPE>=[STR],SYNCH,SYNCH,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
<NEST_BLOCK>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,<NEST_BLOCK>=[IF][OP_PAR]<BOOL_STMT>[CL_PAR][COL]<STMT_LIST><ELSE_BLOCK>[ENDIF],0,0,0,<NEST_BLOCK>=[LOOP][OP_PAR]<BOOL_STMT>[CL_PAR][COL]<STMT_LIST>[ENDLOOP],SYNCH,0,0,0,0,0,0,0,0
<RETURN>,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,SYNCH,0,0,0,0,<RETURN>=[RET]<EXPRESSIONS>,0,0,0
